,index,comment,author,relative_time_posted,url,ingestion_date
0,1e7c4600-5f6b-46fe-9bdd-64e88c4fd3aa,Which of the following skills would you like to see performed more often? ✨ #gymnastics,sporteverywhere,19 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
1,844341d6-4ff4-4112-be81-402cdd877599,"The Dos Santos II, when done properly, (like Chelsea Memmel training attempts or MAG) is one of the most beautiful skills out there.

The Produnova, on the other hand, is too dangerous and almost impossible to stick.",Vladymir Dolia,19 hours ago (edited),https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
2,d47408d6-4d16-4cb6-b280-89a7bfbbe823,"I want to see Produnova done more, but it's just too advanced for a lot of people. Elena did it first and no one has improved on it since, unlike something like the Amanar which has been perfected over the years.",Kelly Stout,17 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
3,fa13a021-91cb-4a07-8f9e-34f275111f3b,"Dos Santos II. Ruedas and Rulfovas, they’ve become extinct this quad, Jaeger 1/2 too 😔 Also hate how rare the triple twist BB dismount has become. Now to see at all - round off layout BB mount, round off Arabian over low bar mount (seems like such a trainable high value skill 🤷), piked double Arabian UB dismount (may someone add a 1/2 out 🙏😱), anddd triple twist UB dismount. That’s my order.",L T,18 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
4,b2591449-cd71-499f-8cca-4030b74c8a30,"I'd love to see harder front tumbling to fulfill composition requirements, not front tucks/layouts connected to back tumbling. The Dowell is one of my favourite skills, and I'd like to see Maldonado more often. Sadly I don't see it happening with the value it is given by FIG.",Aleksandra Prawda,17 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
5,c0284e1c-0326-4a21-98ec-09b5abce2a9a,"Triple Back Tuck dismount should be worth .2 more, nobody's going to bother with that at the current rating. I'd also like to see a bunch of other dismounts get a .1 increase - Mustafina, Fabrichnova, Double Layout with any amount of twisting, Single Layout with 2.5 twist or more.",Zuranthium,14 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
6,542f23af-04b1-41db-a9fa-3c8cb7fce0e6,"for me the most impressive would either be the triple back tuck or the dos santos II. We saw a couple produnovas in the 2013-16 quad (yamilet, oksana, dipa) but we rarely see a dos santos II and literally have never seen a triple back of bars apart from shantessa pama. sadly i don’t think the triple back is rewarded enough to be worth it, it should definitely receive an increase in value in the cop",tired,17 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
7,a8673638-3c0c-4acf-b849-2b054e485c24,"I would only want to see the Produnova if it was performed properly, so like no squatting during the rotation, high landing. That means I would never love it haahaahha",Star Guardian Kassadin,17 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
8,958fe018-89b0-426a-9d51-3f575c89e91f,"I want the step-out landings to come back, they allowed for so much personality and flare.",tawhneebaby,19 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
9,0339bafb-960c-4240-af6d-b1ccfa72e38f,Produnova Vault is impressive to see in action.,Leo L,19 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
10,11d9dc79-e3af-4387-9e8d-8988c3aacf46,The Patterson dismount has kind of faded away recently but I would like to see more of them. Also would like to see more LOSO 1.5 + 2 arabian + front tuck or front layout or stag jump.,Griff,11 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
11,185f4fe6-445c-41ba-8fbe-50631a79899a,I would love to see a layout with a twist performed often. Ohashi made me fall in love with it.,Trendy Maths,18 hours ago,https://www.youtube.com/post/Ugws-LTpmCAo93tBVQF4AaABCQ,2021-08-10
